response,labels
"Depression can cause rapid heart rate, palpitations, and chest pain.Â YouÂ may also be at an increased risk of high blood pressure and heart disease. IfÂ youÂ already have heart disease,Â anxietyÂ disorders may raise the risk of coronary events.",14
"There's anÂ anxiety-reducing technique called grounding. There are different versions of this, but an easy one to remember is theÂ 3-3-3 rule. Mentally noteÂ threeÂ things you see,Â threeÂ sounds you hear, and then moveÂ threeÂ parts of your body. This exercise can help your mind refocus on something else.",0
You are never lonely if you look around carefully you will find people who care for you and would love to have your company. Besides if you are feeling lonely literally I suggest you watch a horror movie then you won't feel lonely anymore. ;) ,20
You really think that? I'd suggest you try helping someone who really needs your help you'll straight up get a person to like you just by being nice. Kindness is the best gift you can offer to anyone :),19
"Well do you really think that? Would you like to see the most beautiful face ever? Open your WebCam and voila, the prettiest face on this planet magically appears.",34
"Your perception of how good you are, will never be accurate. If you wake up everyday in the morning, smile to yourself and tell yourself that the day is yours to seize you might stop feeling that way. Carpe Diem! my friend.",22
"Life is never about being better than anyone else, it's always about being better than yourself, if you have the guts to be better than yourself, you are automatically the best person to ever exist!",4
"When God was creating the universe he gave humans the power to think and the contemplate, so that we can understand the world and make it a better place. God did not give you brains to hate yourself, it wuld be wiser to love yourself and show God that you are serving the purpose for which you were sent.",18
"Our lives started off with winning, my friend. Everyone is born to be a winner, we just need to figure out the right way and need to wait for the right time.",35
"First of all I'll annoy you with a common saying, ""Failures are stepping stones to success."" And then I'll tell you, winning just boosts your ego, it is your failures that actually teach you.",35
A break is putting your mind to rest getting rid of negative thoughts and stress. Your life is completely in your hands and taking a few hours off from pressurizing your brain will definitely be beneficial for you.,5
"Hey,hang in there.I know time is tough but be patient and everything will fall into place.",27
"Here is a quote that I found which could cheer you up Forget what is gone, appreciate what remains, and look forward for what is coming next.",27
Bullying is wrong and no one should be bullied.,6
I recommended you talk to official authorities and get professional help,6
Bullying is very wrong and you shouldn't let anyone overpower you.,7
I highly recommend you to stand for yourself and report this to your guardian.,7
"Why do you want to spend so much on this thought, I think it would be better to go on a vacation in your beautiful country and visit some amazing places that you are yet to visit.",26
"If you are really that exhausted you definitely need a break, and taking a teeny tiny break isn't very harmful, take some time off let your mind be at peace and get back to work with all the enrgy and enthusiasm that you have.",25
"Yeahh!! The time has come for you to show the world that you are the greatest person alive, and no one else can be as good as you are.",32
